Geoname ID;Name;ASCII Name;Alternate Names;Latitude;Longitude;Feature Class;Feature Code;Country Code;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;Country;Coordinates
687065;Zhovtneve;Zhovtneve;Biliche,Bilicze,Vilichi,Zhovtneve,Zhovtnevoye,Жовтневе;50.66365;24.24918;P;PPL;UA;;24;;;;4652;;214;Europe/Kiev;2012-11-08;Ukraine;50.66365, 24.24918
688696;Vysokyy;Vysokyy;Visokij,Vysokiy,Vysokyy,Високий;49.89156;36.12175;P;PPL;UA;;07;;;;10988;;154;Europe/Kiev;2014-01-12;Ukraine;49.89156, 36.12175
688805;Vvedenka;Vvedenka;Vvedenka,Vvedenskoye,Введенка;49.82372;36.50264;P;PPL;UA;;07;;;;2628;;97;Europe/Kiev;2014-06-27;Ukraine;49.82372, 36.50264
689198;Volnovakha;Volnovakha;Volnovakha,Volovakha,Wolnowacha,Волноваха;47.60103;37.49674;P;PPLA2;UA;;05;;;;23731;;260;Europe/Kiev;2014-12-03;Ukraine;47.60103, 37.49674
689857;Verkhnyachka;Verkhnyachka;Verkhnjachka,Verkhnyachka,Verkhnyochka,Верхнячка;48.82849;30.03957;P;PPL;UA;;01;;;;4130;;248;Europe/Kiev;2014-06-26;Ukraine;48.82849, 30.03957
690288;Velyka Oleksandrivka;Velyka Oleksandrivka;Bol'shaya Aleksandrovka,Bolschaja Aleksandrowka,Bol’shaya Aleksandrovka,Velika Oleksandrivka,Velikaya Aleksandrovka,Velyka Oleksandrivka,Велика Олександрівка;47.31969;33.30373;P;PPLA2;UA;;08;;;;7281;;45;Europe/Kiev;2014-12-03;Ukraine;47.31969, 33.30373
690600;Ustynivka;Ustynivka;Ustinivka,Ustinovka,Ustipovka,Ustynivka,Устинівка;47.95507;32.53674;P;PPLA2;UA;;10;;;;4003;;84;Europe/Kiev;2014-11-05;Ukraine;47.95507, 32.53674
691155;Tsarychanka;Tsarychanka;Carichanka,Carychanka,Tsarichanka,Tsarychanka,Zaritschanka,Царичанка,Царычанка;48.93697;34.4786;P;PPLA2;UA;;04;;;;7638;;68;Europe/Kiev;2014-12-03;Ukraine;48.93697, 34.4786
692713;Staryy Krym;Staryy Krym;Starij Krim,Stary Krym,Staryj Krym,Staryy Krym,Старий Крим,Старый Крым;47.16146;37.48934;P;PPL;UA;;05;;;;5977;;45;Europe/Kiev;2014-09-05;Ukraine;47.16146, 37.48934
692844;Starychi;Starychi;Starichi,Starici,Stariska,Starychi,Stazhiska,Stirichi,Старичі;49.98001;23.55848;P;PPL;UA;;15;;;;3293;;281;Europe/Kiev;2012-01-18;Ukraine;49.98001, 23.55848
692944;Stanislav;Stanislav;Stanislav,Станіслав;46.56909;32.14777;P;PPL;UA;;08;;;;4726;;40;Europe/Kiev;2012-01-18;Ukraine;46.56909, 32.14777
693701;Skala-Podil’s’ka;Skala-Podil's'ka;Skala,Skala Podolska,Skala-Podil's'ka,Skala-Podil’s’ka,Skala-Podol'skaja,Skala-Podol'skaya,Skala-Podol’skaya,Skała,Skała Podolska,Скала-Подольская,Скала-Подільська;48.85149;26.19909;P;PPL;UA;;22;;;;4255;;246;Europe/Kiev;2013-02-16;Ukraine;48.85149, 26.19909
695326;Rozhyshche;Rozhyshche;Rozhishche,Rozhishhe,Rozhyshche,Rozyszcze,Рожище;50.91542;25.26906;P;PPLA2;UA;;24;;;;13280;;180;Europe/Kiev;2014-08-06;Ukraine;50.91542, 25.26906
695516;Rokytne;Rokytne;Rakitno,Rakitnoye,Rokitino,Rokitne,Rokitno,Rokitnoye,Rokytne,Рокитне;51.2796;27.214;P;PPLA2;UA;;19;;;;11726;;174;Europe/Kiev;2014-08-06;Ukraine;51.2796, 27.214
